date,colony_id,species,patch,notes
20221111,ACR-414,Acropora,P1,
20221111,ACR-415,Acropora,P2,
20221111,ACR-416,Acropora,P2,
20221111,ACR-417,Acropora,P3,
20221111,ACR-418,Acropora,P3,
20221111,ACR-420,Acropora,P3,
20221111,ACR-421,Acropora,P4,
20221111,ACR-422,Acropora,P4,
20221111,ACR-423,Acropora,P4,
20221111,ACR-424,Acropora,P3,
20221111,ACR-425,Acropora,P3,
20221111,ACR-426,Acropora,P5,
20221111,ACR-427,Acropora,P1,
20221111,ACR-428,Acropora,P5,
20221111,ACR-429,Acropora,P2,
20221111,ACR-430,Acropora,P2,
20221111,ACR-431,Acropora,P4,
20221111,ACR-432,Acropora,P5,
20221111,ACR-433,Acropora,P1,
20221111,ACR-434,Acropora,P1,
20221111,ACR-435,Acropora,P4,
20221111,ACR-436,Acropora,P3,
20221111,ACR-437,Acropora,P5,
20221111,ACR-438,Acropora,P5,
20221111,ACR-439,Acropora,P4,
20221111,ACR-446,Acropora,P4,
20221111,ACR-447,Acropora,P5,
20221111,ACR-448,Acropora,P4,
20221111,ACR-449,Acropora,P2,
20221111,ACR-451,Acropora,P5,
20221111,ACR-456,Acropora,P3,
20221111,ACR-457,Acropora,P4,
20221111,ACR-458,Acropora,P5,
20221111,ACR-459,Acropora,P3,
20221111,ACR-460,Acropora,P3,
20221111,ACR-461,Acropora,P3,
20221111,ACR-462,Acropora,P1,
20221111,ACR-463,Acropora,P3,
20221111,ACR-464,Acropora,P4,
20221111,ACR-465,Acropora,P3,
